======================================
ACTIVITY code University of Birmingham
======================================
 
Date: 01:11 04/02/2014
Calculation Settings
 
Beam Duration/s:                 0.3000000000D+03
Beam Current/uA:                 0.1000000000D+01
Beam Energy/MeV:                 0.9000000000D+01
Beam Area/mm2:                   0.1000000000D+03
Target Thickness/Angstrom:       0.1000000000D+09
Target Density/kgm-3:            0.8000000000D+04
Activity Measurement Time/s:     0.8640000000D+05
Input File:                     examples/Fe9MeVProton.in                                    
Isotope File:                   data/isotopes.txt                                           
Decay Modes File:               data/decaymodes.txt                                         
Gamma Energies File:            data/gammaenergies.txt                                      
XS File Directory:              data/xs                                                     
 
 
Starting Isotope Tally
Element Z   A   Metastable Atoms/mg            Activity      
     FE 026 054 0          0000675672913608704  0.0000000000D+00
     FE 026 056 0          0009862841565708288  0.0000000000D+00
     FE 026 057 0          0000219850987274240  0.0000000000D+00
     FE 026 058 0          0000028297637396480  0.0000000000D+00
 
Final Isotope Tally
Element Z   A   Metastable Atoms/mg            Activity      T1/2          
     H  001 001 0          0000000004264126410  0.0000000000D+00 -0.1000000000D+01
     D  001 002 0          0000000000000010320  0.0000000000D+00 -0.1000000000D+01
     HE 002 004 0          0000000000032368500  0.0000000000D+00 -0.1000000000D+01
     V  023 051 0          0000000000000010872  0.0000000000D+00 -0.1000000000D+01
     CR 024 051 0          0000000000000046578  0.2368009174D+01  0.2393496000D+07
     CR 024 053 0          0000000000000008640  0.0000000000D+00 -0.1000000000D+01
     CR 024 054 0          0000000000000008640  0.0000000000D+00 -0.1000000000D+01
     MN 025 053 0          0000000000030665250  0.3163760143D-04  0.1179446400D+15
     MN 025 054 0          0000000000001520760  0.6862156053D+01  0.2696716800D+08
     MN 025 055 0          0000000000000124857  0.0000000000D+00 -0.1000000000D+01
     FE 026 054 0          0000675672582373904  0.0000000000D+00 -0.1000000000D+01
     FE 026 055 0          0000000000000067655  0.9537921506D-01  0.8631403200D+08
     FE 026 056 0          0009862833177921974  0.0000000000D+00 -0.1000000000D+01
     FE 026 057 0          0000219850676486194  0.0000000000D+00 -0.1000000000D+01
     FE 026 058 0          0000028297597316588  0.0000000000D+00 -0.1000000000D+01
     CO 027 055 0          0000000000000049408  0.9526823240D+02  0.6310800000D+05
     CO 027 056 0          0000000002207766776  0.4025981698D+05  0.6672931200D+07
     CO 027 057 0          0000000000137104636  0.7105916118D+03  0.2347833600D+08
     CO 027 058 0          0000000000017134182  0.3405522353D+03  0.6122304000D+07
     CO 027 059 0          0000000000000011250  0.0000000000D+00 -0.1000000000D+01
 
Gamma Spectra 
Z   A   Metastable Gamma Energy/eV Count         
024 051 0           0.3200824063D+06  0.2349065168D+00
025 054 0           0.8348478750D+06  0.6860508944D+01
026 055 0           0.1259998984D+06  0.1220853948D-09
027 055 0           0.9190000000D+05  0.1107493228D+01
027 055 0           0.3853999063D+06  0.5144484683D+00
027 055 0           0.4114999063D+06  0.1021751787D+01
027 055 0           0.4771999063D+06  0.1922036544D+02
027 055 0           0.5199999063D+06  0.7859629131D+00
027 055 0           0.8036998750D+06  0.1779134190D+01
027 055 0           0.8270000000D+06  0.2000632809D+00
027 055 0           0.9311000000D+06  0.7145117430D+02
027 055 0           0.9845998750D+06  0.4930131081D+00
027 055 0           0.1212799000D+07  0.2500790180D+00
027 055 0           0.1316600000D+07  0.6752134927D+01
027 055 0           0.1369999000D+07  0.2779450706D+01
027 055 0           0.1408499000D+07  0.1607651450D+02
027 055 0           0.1555999000D+07  0.4358521548D-01
027 055 0           0.1622299000D+07  0.4287070384D-01
027 055 0           0.1792100000D+07  0.7788177967D-01
027 055 0           0.1940599000D+07  0.1357572251D-01
027 055 0           0.2144200000D+07  0.8574140769D-01
027 055 0           0.2177600000D+07  0.2786595722D+00
027 055 0           0.2578700000D+07  0.4072716893D-01
027 055 0           0.2872400000D+07  0.1121783439D+00
027 055 0           0.2938900000D+07  0.5430289006D-01
027 055 0           0.3108300000D+07  0.5001582161D-02
027 056 0           0.2634099063D+06  0.8857155704D+01
027 056 0           0.4113799063D+06  0.1006495472D+02
027 056 0           0.4865399063D+06  0.2455848789D+02
027 056 0           0.6550000000D+06  0.1529873095D+02
027 056 0           0.6746998750D+06  0.1529873095D+02
027 056 0           0.7335108750D+06  0.7649365356D+02
027 056 0           0.7877418750D+06  0.1268184237D+03
027 056 0           0.8467708750D+06  0.4023364856D+05
027 056 0           0.8527800000D+06  0.2012990945D+02
027 056 0           0.8965308750D+06  0.3462344144D+02
027 056 0           0.9773728750D+06  0.5833647470D+03
027 056 0           0.9973298750D+06  0.5193516567D+02
027 056 0           0.1037839000D+07  0.5704811850D+04
